Rank,Song,Artist,Genius Lyrics Link,Lyrics,Audio Link
1,Seven,Jung Kook Featuring Latto,https://genius.com/Jung-kook-seven-explicit-ver-lyrics,"  Weight of the world on your shoulders I kiss your waist and ease your mind I must be favored to know ya I take my hands and trace your lines   It's the way that you can ride It's the way that you can ride (Oh-oh-oh-oh) Think I met you in another life So break me off another time (Oh-oh-oh-oh) You wrap around me and you give me life And that's why night after night I'll be fuckin' you right   Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week) Monday, Tuesday, Wednesday, Thursday, Friday Seven days a week Every hour, every minute, every second You know night aftеr night I'll be fuckin' you right Seven days a week   You lovе when I jump right in All of me I'm offering Show you what devotion is Deeper than the ocean is Wind it back I'll take it slow Leave you with that afterglow Show you what devotion is Deeper than the ocean is",https://www.youtube.com/watch?v=itEAI3N8Wng
2,Try That In A Small Town,Jason Aldean,https://genius.com/Jason-aldean-try-that-in-a-small-town-lyrics,"  Sucker punch somebody on a sidewalk Carjack an old lady at a red light Pull a gun on the owner of a liquor store Ya think it's cool, well, act a fool if ya like Cuss out a cop, spit in his face Stomp on the flag and light it up Yeah, ya think you're tough   Well, try that in a small town See how far ya make it down the road 'Round here, we take care of our own You cross that line, it won't take long For you to find out,  I recommend you don't Try that in a small town   Got a gun that my granddad gave me They say one day they're gonna round up Well, that shit might fly in the city, good luck   Try that in a small town See how far ya make it down the road 'Round here, we take care of our own You cross that line, it won't take long For you to find out, I recommend you don't Try that in a small town",https://www.youtube.com/watch?v=Z78VT2yf3WQ
3,Last Night,Morgan Wallen,https://genius.com/Morgan-wallen-last-night-lyrics,"  Last night we let the liquor talk I can't remember everything we said but we said it all You told me that you wish I was somebody you never met But baby, baby somethin's tellin' me this ain't over yet No way it was our last night   I kiss your lips Make you grip the sheets with your fingertips Last bottle of Jack, we split a fifth Just talkin' about life goin' sip for sip, yeah You, you know you love to fight And I say shit I don't mean But I'm still gon' wake up wantin' you and me   I know that last night we let the liquor talk I can't remember everything we said but we said it all You told me that you wish I was somebody you never met But baby, baby somethin's tellin' me this ain't over yet No way it was our last night (Last night) No way it was our last night (Last night)   No way it was the last night that we break up I see your tail lights in the dust You called your momma, I call your bluff In the middle of the night, pull her right back up Yeah my, my friends say ""Let her go"" Your friends say ""What the hell?"" I wouldn't trade your kind of love for nothin' else",https://www.youtube.com/watch?v=bUjPPBxbQrQ
4,Fast Car,Luke Combs,https://genius.com/Luke-combs-fast-car-lyrics,"  You got a fast car And I want a ticket to anywhere Maybe we make a deal Maybe together we can get somewhere Any place is better Startin' from zero, got nothin' to lose Maybe we'll make something Me, myself, I got nothin' to prove   You got a fast car And I got a plan to get us out of here I've been workin' at the convenience store Managed to save just a little bit of money Won't have to drive too far Just across thе border and into the city And you and I can both get jobs Finally see what it mеans to be livin'   See, my old man's got a problem He live in the bottle, that's the way it is He said his body's too old for working His body's too young to look like his So Mama went off and left him She wanted more from life than he could give I said, somebody's got to take care of him So I quit school and that's what I did",https://www.youtube.com/watch?v=IvCcN4URNmQ
5,Calm Down,Rema & Selena Gomez,https://genius.com/Rema-and-selena-gomez-calm-down-remix-lyrics,"  Vibez Oh, no Another banger   Baby, calm down, calm down Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown Girl, you sweet like Fanta, ooh, Fanta, ooh If I tell you say, ""I love you"", you no dey form yanga-oh, oh, yanga-oh No, tell me no, no, no, no, woah, woah, woah, woah Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love, hmm   I see this fine girl, for my party, she wear yellow Every other girl they dey do too much, but this girl mellow Naim, I dey find situation, I go use take tell am ""Hello"" Finally, I find way to talk to the girl, but she no wan' follow Who you come dey form for? Woah ( Mhmm ) Why you no wan' conform? Woah ( Mhmm ) Then I start to feel her bum-bum, woah ( Mhmm ) But she dey gimme small, small, woah I know say shе sabi pass that one, one ( Mhmm ) But she feeling insеcure, woah 'Cause her friends go dey gum her like chewing gum, woah ( Mhmm ) Go dey gum her like chewing gum, oh-woah",https://www.youtube.com/watch?v=ucPu3q4hWGc
6,Fukumean,Gunna,https://genius.com/Gunna-fukumean-lyrics,"  ( Ooh, Dunk  Rock )   Fuck  you mean ? Young Gunna Wunna back, callin' me splurge Watch me jump right off the curb Bentley Spur fly like a bird Spin on the first and the third Solid, I'm keepin' my word Can't be my equal, I don't know what you heard Crank up the foreign, I swerve Keep me a stick if they purge   Ha, ha, ha, ha Ha, ha, ha, ha   Fuck you mean? Young Gunna Wunna, they workin' my nerves I'm about to pour up some syrup Fucking this bitch like a perv' Smack from the back, grab her perm Ice, the berg, uh, shittin' on all you lil' turds Can't take that dick, wait your turn In my own lane, we can't merge Suck with no hands, you can learn Let's see how much you can earn Watch me go big likе the Worm And I ain't smokin' no sherm I'm in this bitch with P Liity QP, QP-ski All of my bitches is prеtty, they showin' they titties, it's up to the ceilin' I let her run through a million, I rock with her really, let's fuck on a billion I'ma get down to the gritty, then fuck up the city, the home of the villains Ecstasy, wonderful feelin' Smoke out the pound when I'm chillin' Trappin', I made me a killin' Look, I got everybody wishin' I hope you play your position I don't want nobody listenin' I see the ho with precision Get rich my only decision",https://www.youtube.com/watch?v=V6ZsXKE8QmQ
7,Vampire,Olivia Rodrigo,https://genius.com/Olivia-rodrigo-vampire-lyrics,"  Hate to give the satisfaction asking how you're doing now How's the castle built off people you pretend to care about? Just what you wanted Look at you, cool guy, you got it I see the parties and the diamonds sometimes when I close my eyes Six months of torture you sold as some forbidden paradise I loved you truly You gotta laugh at the stupidity   'Cause I've made some real big mistakes But you make the worst one look fine I should've known it was strange You only come out at night I used to think I was smart But you made me look so naive The way you sold me for parts As you sunk your teeth into me, oh Bloodsucker, fame fucker Bleedin' me dry like a goddamn vampire   And every girl I ever talked to told me you were bad, bad news You called them crazy, God, I hate the way I called 'em crazy too You're so convincing How do you lie without flinching? (How do you lie? How do you lie? How do you lie?) Oh, what a mesmerizing, paralyzing, fucked up little thrill Can't figure out just how you do it and God knows I never will Went for me and not her 'Cause girls your age know better",https://www.youtube.com/watch?v=RlPNh_PBZb4
8,Cruel Summer,Taylor Swift,https://genius.com/Taylor-swift-cruel-summer-lyrics,"  ( Yeah, yeah, yeah, yeah )   Fever dream high in the quiet of the night You know that I caught it ( Oh yeah, you're right, I want it ) Bad, bad boy, shiny toy with a price You know that I bought it ( Oh yeah, you're right, I want it )   Killing me slow, out the window I'm always waiting for you to be waiting below Devils roll the dice, angels roll their eyes What doesn't kill me makes me want you more   And it's new, the shape of your body It's blue, the feeling I've got And it's ooh, woah-oh It's a cruel summer It's cool, that's what I tell 'em No rules in breakable heaven But ooh, woah-oh It's a cruel summer with you   Hang your head low in the glow of the vending machine I'm not dying ( Oh yeah, you're right, I want it ) We say that we'll just screw it up in these trying times We're not trying ( Oh yeah, you're right, I want it )",https://www.youtube.com/watch?v=ic8j13piAhQ
9,Flowers,Miley Cyrus,https://genius.com/Miley-cyrus-flowers-lyrics,"  We were good, we were gold Kinda dream that can't be sold We were right 'til we weren't Built a home and watched it burn   Mm, I didn't wanna leave you, I didn't wanna lie Started to cry, but then remembered I   I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can   Can love me better, I can love me better, baby Can love me better, I can love me better, baby   Paint my nails cherry-red Match the roses that you left No remorse, no regret I forgive every word you said",https://www.youtube.com/watch?v=qs3ZKj47zEw
10,All My Life,Lil Durk Featuring J. Cole,https://genius.com/Lil-durk-all-my-life-lyrics,"  Durkio told me he been on some positive shit, yeah, yeah Lately, I just wanna show up and body some shit, yeah, yeah Always been a lil' mathematician, lately, it's cash I'm gettin' Got me losin' count of these bags, I've been movin' too fast Hard times don't last, 'member when cops harassed Talkin' out my ass, boy, you ain't shit but a bitch with a badge   All my life ( All my life ) They been tryin' to keep me down ( They been tryna keep me down ) All this time ( All this time ) Never thought I would make it out ( Never thought I'd make it out ) They couldn't break me, they couldn't break mе ( No, no ) They couldn't take me, thеy couldn't take me ( No ) All my life ( All my life ) They been tryin' to keep me down ( They been tryna keep me down )   I decided I had to finish But the media called me a menace I done sat with the mayor and politicians, I'm tryna change the image You can't blame my past no more, I come from the trenches Some said I'd never be a superstar, but I know I'm different (No, no, no) I'm The Voice, but the system ain't give me a choice Know some people that's still unemployed I know a felon who tryna get FOID Child support your only support For a visit, I'm goin' through courts Went to jail, they was chainin' me up And you know that I'm famous as fuck See how you gon' joke about stimulus? But they really had came in the clutch I know some kids wanna hurt theyself Stop tryna take drugs, I refer to myself Tryna better myself, tryna better my health but",https://www.youtube.com/watch?v=Z4N8lzKNfy4
